,iteration,speed
0,0,"[0.16       0.15999999 0.15999999 0.16       0.15999999 0.15999999
 0.16       0.15999999 0.16       0.15999999]"
1,1,"[0.16       0.15999999 0.15999999 0.16       0.15999999 0.15999999
 0.16       0.15999999 0.16       0.15999999]"
2,2,"[0.16       0.15999999 0.15999999 0.16       0.15999999 0.15999999
 0.16       0.15999999 0.16       0.15999999]"
3,3,"[0.16       0.15999999 0.15999999 0.16       0.15999999 0.15999999
 0.16       0.15999999 0.16       0.15999999]"
4,4,"[0.16       0.15999999 0.15999999 0.16       0.15999999 0.15999999
 0.16       0.15999999 0.16       0.15999999]"
5,5,"[0.16       0.15999998 0.15999999 0.16       0.15999999 0.15999998
 0.16       0.15999999 0.16       0.15999999]"
6,6,"[0.16       0.15999998 0.15999998 0.16       0.15999998 0.15999998
 0.16       0.15999998 0.16       0.15999998]"
7,7,"[0.16       0.15999998 0.15999998 0.16       0.15999998 0.15999998
 0.16       0.15999998 0.16       0.15999998]"
8,8,"[0.16       0.15999998 0.15999998 0.16       0.15999998 0.15999998
 0.16       0.15999998 0.16       0.15999998]"
9,9,"[0.16       0.15999998 0.15999998 0.16       0.15999998 0.15999998
 0.16       0.15999998 0.16       0.15999998]"
10,10,"[0.16       0.15999998 0.15999998 0.16       0.15999998 0.15999998
 0.16       0.15999998 0.16       0.15999998]"
11,11,"[0.16       0.15999998 0.15999998 0.16       0.15999998 0.15999998
 0.16       0.15999998 0.16       0.15999998]"
12,12,"[0.16       0.15999998 0.15999998 0.16       0.15999998 0.15999998
 0.16       0.15999998 0.16       0.15999998]"
13,13,"[0.16       0.15999998 0.15999998 0.16       0.15999998 0.15999998
 0.16       0.15999998 0.16       0.15999998]"
14,14,"[0.16       0.15999998 0.15999998 0.16       0.15999998 0.15999998
 0.16       0.15999998 0.16       0.15999998]"
15,15,"[0.16       0.15999998 0.15999998 0.16       0.15999998 0.15999998
 0.16       0.15999998 0.16       0.15999998]"
16,16,"[0.16       0.15999998 0.15999998 0.16       0.15999998 0.15999998
 0.16       0.15999998 0.16       0.15999998]"
17,17,"[0.16       0.15999998 0.15999998 0.16       0.15999998 0.15999998
 0.16       0.15999998 0.16       0.15999998]"
18,18,"[0.16       0.15999998 0.15999998 0.16       0.15999998 0.15999998
 0.16       0.15999998 0.16       0.15999998]"
19,19,"[0.16       0.15999998 0.15999998 0.16       0.15999998 0.15999998
 0.16       0.15999998 0.16       0.15999998]"
20,20,"[0.16       0.15999998 0.15999998 0.16       0.15999998 0.15999998
 0.16       0.15999998 0.16       0.15999998]"
