,iteration,speed
0,0,[0.15999983 0.12999986]
1,1,[0.15999983 0.12999986]
2,2,[0.15999983 0.12999986]
3,3,[0.15999983 0.12999986]
4,4,[0.15999983 0.12999986]
5,5,[0.15999983 0.12999986]
6,6,[0.15999983 0.12999987]
7,7,[0.15999983 0.12999987]
8,8,[0.15999983 0.12999987]
9,9,[0.15999983 0.12999987]
10,10,[0.15999984 0.12999987]
11,11,[0.15999984 0.12999987]
12,12,[0.15999984 0.12999987]
13,13,[0.15999984 0.12999987]
14,14,[0.15999984 0.12999987]
15,15,[0.15999984 0.12999987]
16,16,[0.15999984 0.12999987]
17,17,[0.15999984 0.12999987]
18,18,[0.15999984 0.12999987]
19,19,[0.15999984 0.12999987]
20,20,[0.15999984 0.12999987]
21,21,[0.15999984 0.12999987]
22,22,[0.15999984 0.12999987]
23,23,[0.15999984 0.12999987]
24,24,[0.15999984 0.12999987]
25,25,[0.15999984 0.12999987]
26,26,[0.15999984 0.12999987]
27,27,[0.15999985 0.12999987]
28,28,[0.15999985 0.12999988]
29,29,[0.15999985 0.12999988]
30,30,[0.15999985 0.12999988]
31,31,[0.15999985 0.12999988]
32,32,[0.15999985 0.12999988]
33,33,[0.15999985 0.12999988]
34,34,[0.15999985 0.12999988]
35,35,[0.15999985 0.12999988]
36,36,[0.15999985 0.12999988]
37,37,[0.15999985 0.12999988]
38,38,[0.15999986 0.12999988]
39,39,[0.15999986 0.12999988]
40,40,[0.15999986 0.12999988]
41,41,[0.15999986 0.12999989]
42,42,[0.15999986 0.12999989]
43,43,[0.15999986 0.12999989]
44,44,[0.15999986 0.12999989]
45,45,[0.15999986 0.12999989]
46,46,[0.15999986 0.12999989]
47,47,[0.15999987 0.12999989]
48,48,[0.15999987 0.12999989]
49,49,[0.15999987 0.12999989]
50,50,[0.15999987 0.12999989]
51,51,[0.15999987 0.12999989]
52,52,[0.15999987 0.1299999 ]
53,53,[0.15999987 0.1299999 ]
54,54,[0.15999987 0.1299999 ]
55,55,[0.15999988 0.1299999 ]
56,56,[0.15999988 0.1299999 ]
57,57,[0.15999988 0.1299999 ]
58,58,[0.15999988 0.1299999 ]
59,59,[0.15999988 0.1299999 ]
60,60,[0.15999988 0.1299999 ]
61,61,[0.15999988 0.12999991]
62,62,[0.15999988 0.12999991]
63,63,[0.15999989 0.12999991]
64,64,[0.15999989 0.12999991]
65,65,[0.15999989 0.12999991]
66,66,[0.15999989 0.12999991]
67,67,[0.15999989 0.12999991]
68,68,[0.15999989 0.12999991]
69,69,[0.15999989 0.12999991]
70,70,[0.15999989 0.12999991]
71,71,[0.1599999  0.12999992]
72,72,[0.1599999  0.12999992]
73,73,[0.1599999  0.12999992]
74,74,[0.1599999  0.12999992]
75,75,[0.1599999  0.12999992]
76,76,[0.1599999  0.12999992]
77,77,[0.1599999  0.12999992]
78,78,[0.1599999  0.12999992]
79,79,[0.15999991 0.12999992]
80,80,[0.15999991 0.12999992]
81,81,[0.15999991 0.12999993]
82,82,[0.15999991 0.12999993]
83,83,[0.15999991 0.12999993]
84,84,[0.15999991 0.12999993]
85,85,[0.15999991 0.12999993]
86,86,[0.15999991 0.12999993]
87,87,[0.15999992 0.12999993]
88,88,[0.15999992 0.12999993]
89,89,[0.15999992 0.12999993]
90,90,[0.15999992 0.12999993]
91,91,[0.15999992 0.12999994]
92,92,[0.15999992 0.12999994]
93,93,[0.15999992 0.12999994]
94,94,[0.15999992 0.12999994]
95,95,[0.15999993 0.12999994]
96,96,[0.15999993 0.12999994]
97,97,[0.15999993 0.12999994]
98,98,[0.15999993 0.12999994]
99,99,[0.15999993 0.12999994]
100,100,[0.15999993 0.12999994]
101,101,[0.15999993 0.12999994]
102,102,[0.15999993 0.12999995]
103,103,[0.15999993 0.12999995]
104,104,[0.15999993 0.12999995]
105,105,[0.15999994 0.12999995]
106,106,[0.15999994 0.12999995]
107,107,[0.15999994 0.12999995]
108,108,[0.15999994 0.12999995]
109,109,[0.15999994 0.12999995]
110,110,[0.15999994 0.12999995]
111,111,[0.15999994 0.12999995]
112,112,[0.15999994 0.12999995]
113,113,[0.15999994 0.12999995]
114,114,[0.15999994 0.12999995]
115,115,[0.15999995 0.12999996]
116,116,[0.15999995 0.12999996]
117,117,[0.15999995 0.12999996]
118,118,[0.15999995 0.12999996]
119,119,[0.15999995 0.12999996]
120,120,[0.15999995 0.12999996]
121,121,[0.15999995 0.12999996]
122,122,[0.15999995 0.12999996]
123,123,[0.15999995 0.12999996]
124,124,[0.15999995 0.12999996]
125,125,[0.15999995 0.12999996]
126,126,[0.15999995 0.12999996]
127,127,[0.15999996 0.12999996]
128,128,[0.15999996 0.12999996]
129,129,[0.15999996 0.12999996]
130,130,[0.15999996 0.12999997]
131,131,[0.15999996 0.12999997]
132,132,[0.15999996 0.12999997]
133,133,[0.15999996 0.12999997]
134,134,[0.15999996 0.12999997]
135,135,[0.15999996 0.12999997]
136,136,[0.15999996 0.12999997]
137,137,[0.15999996 0.12999997]
138,138,[0.15999996 0.12999997]
139,139,[0.15999996 0.12999997]
140,140,[0.15999996 0.12999997]
141,141,[0.15999996 0.12999997]
142,142,[0.15999997 0.12999997]
143,143,[0.15999997 0.12999997]
144,144,[0.15999997 0.12999997]
145,145,[0.15999997 0.12999997]
