,iteration,speed
0,0,[0.16       0.12999997 0.11999997 0.29999992]
1,1,[0.16       0.12999997 0.11999997 0.29999992]
2,2,[0.16       0.12999997 0.11999997 0.29999992]
3,3,[0.16       0.12999997 0.11999997 0.29999992]
4,4,[0.16       0.12999997 0.11999997 0.29999992]
5,5,[0.16       0.12999997 0.11999997 0.29999992]
6,6,[0.16       0.12999997 0.11999997 0.29999992]
7,7,[0.16       0.12999997 0.11999997 0.29999992]
8,8,[0.16       0.12999997 0.11999997 0.29999992]
9,9,[0.16       0.12999997 0.11999997 0.29999992]
10,10,[0.16       0.12999997 0.11999997 0.29999992]
11,11,[0.16       0.12999997 0.11999997 0.29999992]
12,12,[0.16       0.12999997 0.11999997 0.29999992]
13,13,[0.16       0.12999997 0.11999997 0.29999992]
14,14,[0.16       0.12999997 0.11999997 0.29999992]
15,15,[0.16       0.12999997 0.11999997 0.29999992]
16,16,[0.16       0.12999997 0.11999997 0.29999992]
17,17,[0.16       0.12999997 0.11999997 0.29999992]
18,18,[0.16       0.12999997 0.11999997 0.29999992]
19,19,[0.16       0.12999997 0.11999997 0.29999992]
20,20,[0.16       0.12999997 0.11999997 0.29999992]
21,21,[0.16       0.12999997 0.11999997 0.29999992]
22,22,[0.16       0.12999997 0.11999997 0.29999992]
23,23,[0.16       0.12999997 0.11999997 0.29999992]
24,24,[0.16       0.12999997 0.11999997 0.29999992]
25,25,[0.16       0.12999997 0.11999997 0.29999992]
26,26,[0.16       0.12999997 0.11999997 0.29999992]
27,27,[0.16       0.12999997 0.11999997 0.29999992]
28,28,[0.16       0.12999997 0.11999997 0.29999992]
29,29,[0.16       0.12999997 0.11999997 0.29999992]
30,30,[0.16       0.12999997 0.11999997 0.29999992]
31,31,[0.16       0.12999997 0.11999997 0.29999992]
32,32,[0.16       0.12999997 0.11999997 0.29999992]
33,33,[0.16       0.12999997 0.11999997 0.29999992]
34,34,[0.16       0.12999997 0.11999997 0.29999992]
35,35,[0.16       0.12999997 0.11999997 0.29999992]
36,36,[0.16       0.12999997 0.11999997 0.29999992]
37,37,[0.16       0.12999997 0.11999997 0.29999992]
38,38,[0.16       0.12999997 0.11999997 0.29999992]
39,39,[0.16       0.12999997 0.11999997 0.29999992]
40,40,[0.16       0.12999997 0.11999997 0.29999992]
41,41,[0.16       0.12999997 0.11999997 0.29999993]
42,42,[0.16       0.12999997 0.11999997 0.29999993]
43,43,[0.16       0.12999997 0.11999997 0.29999993]
44,44,[0.16       0.12999997 0.11999997 0.29999993]
45,45,[0.16       0.12999997 0.11999997 0.29999993]
46,46,[0.16       0.12999997 0.11999997 0.29999993]
47,47,[0.16       0.12999997 0.11999997 0.29999993]
48,48,[0.16       0.12999997 0.11999997 0.29999993]
49,49,[0.16       0.12999997 0.11999997 0.29999993]
50,50,[0.16       0.12999997 0.11999997 0.29999993]
51,51,[0.16       0.12999997 0.11999997 0.29999993]
52,52,[0.16       0.12999997 0.11999997 0.29999993]
53,53,[0.16       0.12999997 0.11999997 0.29999993]
54,54,[0.16       0.12999997 0.11999997 0.29999993]
55,55,[0.16       0.12999997 0.11999997 0.29999993]
56,56,[0.16       0.12999997 0.11999997 0.29999993]
57,57,[0.16       0.12999997 0.11999997 0.29999993]
58,58,[0.16       0.12999997 0.11999997 0.29999993]
59,59,[0.16       0.12999997 0.11999997 0.29999993]
60,60,[0.16       0.12999997 0.11999997 0.29999993]
61,61,[0.16       0.12999997 0.11999997 0.29999993]
62,62,[0.16       0.12999997 0.11999997 0.29999993]
63,63,[0.16       0.12999997 0.11999997 0.29999993]
64,64,[0.16       0.12999997 0.11999997 0.29999993]
65,65,[0.16       0.12999997 0.11999997 0.29999993]
66,66,[0.16       0.12999997 0.11999997 0.29999993]
67,67,[0.16       0.12999997 0.11999997 0.29999993]
68,68,[0.16       0.12999997 0.11999997 0.29999993]
69,69,[0.16       0.12999997 0.11999997 0.29999993]
70,70,[0.16       0.12999997 0.11999997 0.29999993]
71,71,[0.16       0.12999997 0.11999997 0.29999993]
72,72,[0.16       0.12999997 0.11999997 0.29999993]
73,73,[0.16       0.12999997 0.11999997 0.29999993]
74,74,[0.16       0.12999997 0.11999997 0.29999993]
75,75,[0.16       0.12999997 0.11999997 0.29999993]
76,76,[0.16       0.12999997 0.11999997 0.29999993]
