,iteration,speed
0,0,[0.15999021 0.12998958]
1,1,[0.15998967 0.12998913]
2,2,[0.15998913 0.12998869]
3,3,[0.15998859 0.12998828]
4,4,[0.15998805 0.1299879 ]
5,5,[0.15998751 0.12998755]
6,6,[0.15998699 0.12998725]
7,7,[0.15998647 0.12998699]
8,8,[0.15998598 0.12998677]
9,9,[0.15998552 0.12998661]
10,10,[0.15998508 0.12998651]
11,11,[0.15998468 0.12998646]
12,12,[0.15998433 0.12998647]
13,13,[0.15998402 0.12998654]
14,14,[0.15998377 0.12998667]
15,15,[0.15998357 0.12998686]
16,16,[0.15998343 0.12998709]
17,17,[0.15998335 0.12998738]
18,18,[0.15998334 0.12998771]
19,19,[0.15998339 0.12998808]
20,20,[0.15998351 0.12998849]
21,21,[0.15998368 0.12998892]
22,22,[0.15998393 0.12998938]
23,23,[0.15998422 0.12998985]
24,24,[0.15998458 0.12999034]
25,25,[0.15998498 0.12999083]
26,26,[0.15998542 0.12999132]
27,27,[0.1599859  0.12999182]
28,28,[0.15998642 0.1299923 ]
29,29,[0.15998696 0.12999278]
30,30,[0.15998751 0.12999324]
31,31,[0.15998809 0.12999369]
32,32,[0.15998867 0.12999412]
33,33,[0.15998925 0.12999453]
34,34,[0.15998983 0.12999493]
35,35,[0.15999041 0.1299953 ]
36,36,[0.15999097 0.12999565]
37,37,[0.15999152 0.12999598]
38,38,[0.15999205 0.1299963 ]
39,39,[0.15999257 0.12999659]
40,40,[0.15999306 0.12999686]
41,41,[0.15999354 0.12999712]
42,42,[0.15999399 0.12999735]
43,43,[0.15999442 0.12999757]
44,44,[0.15999482 0.12999777]
45,45,[0.15999521 0.12999796]
46,46,[0.15999556 0.12999813]
47,47,[0.1599959  0.12999829]
48,48,[0.15999622 0.12999844]
49,49,[0.15999651 0.12999857]
50,50,[0.15999679 0.1299987 ]
51,51,[0.15999704 0.12999881]
52,52,[0.15999728 0.12999892]
53,53,[0.1599975  0.12999901]
54,54,[0.1599977 0.1299991]
55,55,[0.15999789 0.12999918]
56,56,[0.15999806 0.12999925]
57,57,[0.15999822 0.12999932]
58,58,[0.15999837 0.12999938]
59,59,[0.15999851 0.12999943]
60,60,[0.15999863 0.12999949]
61,61,[0.15999875 0.12999953]
62,62,[0.15999885 0.12999957]
63,63,[0.15999895 0.12999961]
64,64,[0.15999904 0.12999965]
65,65,[0.15999912 0.12999968]
66,66,[0.15999919 0.12999971]
67,67,[0.15999926 0.12999973]
68,68,[0.15999932 0.12999976]
69,69,[0.15999938 0.12999978]
70,70,[0.15999944 0.1299998 ]
71,71,[0.15999948 0.12999982]
72,72,[0.15999953 0.12999983]
73,73,[0.15999957 0.12999985]
74,74,[0.1599996  0.12999986]
75,75,[0.15999964 0.12999988]
76,76,[0.15999967 0.12999989]
77,77,[0.1599997 0.1299999]
78,78,[0.15999972 0.12999991]
79,79,[0.15999975 0.12999992]
80,80,[0.15999977 0.12999992]
81,81,[0.15999979 0.12999993]
82,82,[0.15999981 0.12999994]
83,83,[0.15999982 0.12999994]
84,84,[0.15999984 0.12999995]
85,85,[0.15999985 0.12999995]
86,86,[0.15999987 0.12999996]
87,87,[0.15999988 0.12999996]
88,88,[0.15999989 0.12999996]
89,89,[0.1599999  0.12999997]
90,90,[0.15999991 0.12999997]
91,91,[0.15999991 0.12999997]
92,92,[0.15999992 0.12999998]
93,93,[0.15999993 0.12999998]
94,94,[0.15999993 0.12999998]
95,95,[0.15999994 0.12999998]
96,96,[0.15999994 0.12999998]
97,97,[0.15999995 0.12999998]
98,98,[0.15999995 0.12999999]
99,99,[0.15999996 0.12999999]
100,100,[0.15999996 0.12999999]
101,101,[0.15999996 0.12999999]
102,102,[0.15999997 0.12999999]
103,103,[0.15999997 0.12999999]
104,104,[0.15999997 0.12999999]
105,105,[0.15999998 0.12999999]
106,106,[0.15999998 0.12999999]
107,107,[0.15999998 0.12999999]
108,108,[0.15999998 0.12999999]
109,109,[0.15999998 0.13      ]
110,110,[0.15999998 0.13      ]
111,111,[0.15999999 0.13      ]
112,112,[0.15999999 0.13      ]
113,113,[0.15999999 0.13      ]
114,114,[0.15999999 0.13      ]
115,115,[0.15999999 0.13      ]
116,116,[0.15999999 0.13      ]
117,117,[0.15999999 0.13      ]
118,118,[0.15999999 0.13      ]
119,119,[0.15999999 0.13      ]
120,120,[0.15999999 0.13      ]
121,121,[0.15999999 0.13      ]
122,122,[0.15999999 0.13      ]
123,123,[0.16 0.13]
124,124,[0.16 0.13]
125,125,[0.16 0.13]
126,126,[0.16 0.13]
127,127,[0.16 0.13]
128,128,[0.16 0.13]
129,129,[0.16 0.13]
