,iteration,speed
0,0,"[0.15999988 0.15999917 0.1599997  0.1600007  0.1600465  0.15999736
 0.15999922 0.15999906 0.16       0.1600032 ]"
1,1,"[0.1599978  0.15999862 0.15999971 0.15999983 0.15999815 0.15999735
 0.15999922 0.15999814 0.15999999 0.15999969]"
2,2,"[0.15999781 0.15999865 0.15999972 0.15999984 0.15999811 0.15999734
 0.15999922 0.15999817 0.15999999 0.1599997 ]"
3,3,"[0.15999782 0.15999868 0.15999973 0.15999984 0.15999806 0.15999734
 0.15999923 0.15999819 0.15999999 0.15999971]"
4,4,"[0.15999784 0.15999871 0.15999974 0.15999984 0.15999802 0.15999734
 0.15999923 0.15999822 0.15999999 0.15999972]"
5,5,"[0.15999785 0.15999874 0.15999975 0.15999984 0.15999797 0.15999734
 0.15999923 0.15999825 0.15999999 0.15999972]"
6,6,"[0.15999787 0.15999877 0.15999976 0.15999984 0.15999793 0.15999733
 0.15999923 0.15999828 0.15999999 0.15999973]"
7,7,"[0.15999788 0.1599988  0.15999977 0.15999984 0.15999788 0.15999733
 0.15999923 0.1599983  0.15999999 0.15999974]"
8,8,"[0.1599979  0.15999883 0.15999977 0.15999984 0.15999783 0.15999733
 0.15999923 0.15999833 0.15999999 0.15999975]"
9,9,"[0.15999791 0.15999885 0.15999978 0.15999984 0.15999779 0.15999734
 0.15999922 0.15999836 0.15999999 0.15999975]"
10,10,"[0.15999793 0.15999888 0.15999979 0.15999984 0.15999918 0.15999734
 0.15999922 0.15999894 0.15999999 0.15999976]"
11,11,"[0.15999795 0.15999891 0.1599998  0.15999985 0.15999954 0.15999734
 0.15999921 0.15999931 0.15999999 0.15999977]"
12,12,"[0.15999796 0.15999893 0.15999981 0.15999985 0.15999954 0.15999734
 0.15999921 0.15999932 0.15999999 0.15999977]"
13,13,"[0.15999798 0.15999896 0.15999982 0.15999985 0.15999953 0.15999735
 0.1599992  0.15999934 0.15999999 0.15999978]"
14,14,"[0.159998   0.15999898 0.15999983 0.15999985 0.15999953 0.15999735
 0.15999919 0.15999935 0.15999999 0.15999979]"
15,15,"[0.15999801 0.15999901 0.15999983 0.15999985 0.15999952 0.15999736
 0.15999919 0.15999936 0.15999999 0.15999979]"
16,16,"[0.15999803 0.15999903 0.15999984 0.15999985 0.15999952 0.15999737
 0.15999918 0.15999937 0.15999999 0.1599998 ]"
17,17,"[0.15999805 0.15999905 0.15999985 0.15999985 0.15999951 0.15999737
 0.15999916 0.15999939 0.15999999 0.1599998 ]"
18,18,"[0.15999807 0.15999908 0.15999986 0.15999985 0.15999931 0.15999738
 0.15999915 0.15999917 0.15999999 0.15999981]"
19,19,"[0.15999808 0.1599991  0.15999986 0.15999985 0.15999734 0.15999739
 0.15999914 0.15999846 0.15999999 0.15999982]"
20,20,"[0.1599981  0.15999912 0.15999987 0.15999985 0.15999899 0.1599974
 0.15999912 0.1599991  0.15999999 0.15999982]"
21,21,"[0.15999812 0.15999914 0.15999988 0.15999985 0.15999944 0.15999741
 0.15999911 0.15999945 0.15999999 0.15999983]"
22,22,"[0.15999814 0.15999916 0.15999988 0.15999985 0.15999944 0.15999741
 0.15999909 0.15999945 0.15999999 0.15999983]"
23,23,"[0.15999816 0.15999918 0.15999989 0.15999986 0.15999943 0.15999742
 0.15999907 0.15999945 0.15999999 0.15999984]"
24,24,"[0.15999818 0.1599992  0.15999989 0.15999986 0.15999942 0.15999743
 0.15999905 0.15999946 0.15999999 0.15999984]"
25,25,"[0.15999819 0.15999922 0.1599999  0.15999986 0.15999941 0.15999744
 0.15999903 0.15999946 0.15999999 0.15999985]"
26,26,"[0.15999821 0.15999924 0.1599999  0.15999986 0.15999941 0.15999744
 0.15999901 0.15999945 0.15999999 0.15999985]"
27,27,"[0.15999823 0.15999926 0.15999991 0.15999986 0.1599994  0.15999744
 0.15999899 0.15999944 0.15999999 0.15999986]"
28,28,"[0.15999825 0.15999928 0.15999991 0.15999986 0.15999939 0.15999744
 0.15999896 0.15999942 0.15999999 0.15999986]"
29,29,"[0.15999827 0.1599993  0.15999991 0.15999986 0.15999938 0.15999742
 0.15999894 0.15999939 0.15999999 0.15999987]"
30,30,"[0.15999829 0.15999931 0.15999992 0.15999986 0.15999938 0.15999738
 0.15999891 0.15999932 0.15999999 0.15999987]"
31,31,"[0.15999831 0.15999933 0.15999992 0.15999987 0.15999937 0.15999734
 0.15999889 0.15999918 0.15999998 0.15999988]"
32,32,"[0.15999833 0.15999935 0.15999992 0.15999987 0.15999936 0.15999737
 0.15999886 0.15999896 0.15999998 0.15999988]"
33,33,"[0.15999835 0.15999936 0.15999992 0.15999987 0.15999798 0.15999773
 0.15999883 0.15999873 0.15999998 0.15999989]"
34,34,"[0.15999837 0.15999938 0.15999993 0.15999987 0.15999803 0.15999756
 0.1599988  0.15999862 0.15999998 0.15999989]"
35,35,"[0.15999839 0.15999939 0.15999993 0.15999987 0.15999808 0.15999751
 0.15999877 0.15999858 0.15999998 0.1599999 ]"
36,36,"[0.15999841 0.15999941 0.15999993 0.15999987 0.15999813 0.15999751
 0.15999874 0.15999858 0.15999998 0.1599999 ]"
