,iteration,speed
0,0,[0.15999834 0.12999993 0.11996516 0.30012018]
1,1,[0.15999838 0.12999994 0.11996664 0.30405079]
2,2,[0.15999842 0.12999994 0.11996807 0.30558306]
3,3,[0.15999846 0.12999995 0.11996944 0.30000193]
4,4,[0.15999849 0.12999996 0.11997075 0.307104  ]
5,5,[0.15999852 0.12999996 0.11997203 0.30000893]
6,6,[0.15999855 0.12999997 0.11997325 0.30380438]
7,7,[0.15999858 0.12999997 0.11997442 0.30054772]
8,8,[0.15999861 0.12999998 0.11997554 0.30026452]
9,9,[0.15999864 0.12999998 0.11997662 0.30121413]
10,10,[0.15999866 0.12999998 0.11997766 0.3035545 ]
11,11,[0.15999869 0.12999999 0.11997866 0.30072658]
12,12,[0.15999871 0.12999999 0.11997961 0.30198146]
13,13,[0.15999874 0.12999999 0.11998052 0.30011633]
14,14,[0.15999876 0.12999999 0.1199814  0.3006627 ]
15,15,[0.15999878 0.13       0.11998224 0.30979271]
16,16,[0.1599988  0.13       0.11998304 0.30153293]
17,17,[0.15999882 0.13       0.11998381 0.30112891]
18,18,[0.15999884 0.13       0.11998454 0.3001703 ]
19,19,[0.15999886 0.13       0.11998525 0.30649647]
20,20,[0.15999888 0.13       0.11998592 0.3001778 ]
21,21,[0.1599989  0.13       0.11998656 0.30003481]
22,22,[0.15999892 0.13       0.11998717 0.30011761]
23,23,[0.15999893 0.13       0.11998776 0.30219959]
24,24,[0.15999895 0.13       0.11998831 0.30105382]
25,25,[0.15999897 0.13       0.11998885 0.3002508 ]
26,26,[0.15999899 0.13       0.11998935 0.30031504]
27,27,[0.15999901 0.13       0.11998984 0.30088749]
28,28,[0.15999902 0.13       0.11999029 0.30026761]
29,29,[0.15999904 0.13       0.11999073 0.30042267]
30,30,[0.15999906 0.13       0.11999115 0.30332101]
31,31,[0.15999908 0.13       0.11999155 0.30008982]
32,32,[0.1599991  0.12999999 0.11999193 0.30041704]
33,33,[0.15999911 0.12999999 0.11999229 0.3003946 ]
34,34,[0.15999913 0.12999999 0.11999263 0.30130432]
35,35,[0.15999915 0.12999999 0.11999296 0.30011808]
36,36,[0.15999916 0.12999999 0.11999328 0.30179858]
37,37,[0.15999918 0.12999999 0.11999357 0.30037497]
38,38,[0.1599992  0.12999999 0.11999386 0.3139296 ]
39,39,[0.15999921 0.12999999 0.11999413 0.30000906]
40,40,[0.15999923 0.12999999 0.11999439 0.30000142]
41,41,[0.15999925 0.12999999 0.11999463 0.30037921]
42,42,[0.15999926 0.12999999 0.11999487 0.30310189]
43,43,[0.15999928 0.12999999 0.11999509 0.30021135]
44,44,[0.1599993  0.12999999 0.1199953  0.30017478]
45,45,[0.15999931 0.12999999 0.11999551 0.30000066]
46,46,[0.15999933 0.12999999 0.1199957  0.30054698]
47,47,[0.15999934 0.12999999 0.11999588 0.30038978]
48,48,[0.15999936 0.12999999 0.11999605 0.30083069]
49,49,[0.15999938 0.12999999 0.11999622 0.30044597]
50,50,[0.15999939 0.12999999 0.11999638 0.30040939]
51,51,[0.15999941 0.12999999 0.11999653 0.3007633 ]
52,52,[0.15999942 0.12999999 0.11999667 0.30023247]
53,53,[0.15999944 0.12999999 0.11999681 0.30008911]
54,54,[0.15999945 0.12999999 0.11999694 0.30621391]
55,55,[0.15999946 0.12999999 0.11999706 0.30000259]
56,56,[0.15999948 0.12999999 0.11999718 0.30115853]
57,57,[0.15999949 0.12999999 0.11999729 0.30032738]
58,58,[0.15999951 0.12999999 0.1199974  0.3001225 ]
59,59,[0.15999952 0.12999999 0.1199975  0.30015608]
60,60,[0.15999953 0.12999999 0.1199976  0.30004295]
61,61,[0.15999955 0.12999999 0.11999769 0.30005602]
62,62,[0.15999956 0.12999999 0.11999778 0.30004823]
63,63,[0.15999957 0.12999999 0.11999787 0.30004443]
64,64,[0.15999958 0.12999999 0.11999795 0.30003988]
65,65,[0.1599996  0.12999999 0.11999803 0.30022024]
66,66,[0.15999961 0.12999999 0.1199981  0.30004776]
67,67,[0.15999962 0.12999999 0.11999817 0.30011968]
68,68,[0.15999963 0.12999999 0.11999823 0.30080992]
69,69,[0.15999964 0.12999999 0.1199983  0.30024522]
70,70,[0.15999965 0.13       0.11999836 0.30011612]
71,71,[0.15999966 0.13       0.11999842 0.30023905]
72,72,[0.15999967 0.13       0.11999848 0.30104063]
73,73,[0.15999968 0.13       0.11999853 0.30003575]
74,74,[0.15999969 0.13       0.11999858 0.3002289 ]
75,75,[0.1599997  0.13       0.11999863 0.30023087]
76,76,[0.15999971 0.13       0.11999868 0.30002631]
77,77,[0.15999972 0.13       0.11999872 0.30006753]
78,78,[0.15999973 0.13       0.11999876 0.30018266]
79,79,[0.15999974 0.13       0.1199988  0.3005963 ]
80,80,[0.15999975 0.13       0.11999884 0.30005765]
81,81,[0.15999976 0.13       0.11999888 0.30002929]
82,82,[0.15999976 0.13       0.11999891 0.30009183]
83,83,[0.15999977 0.13       0.11999895 0.30038451]
84,84,[0.15999978 0.13       0.11999898 0.30042197]
85,85,[0.15999979 0.13       0.11999901 0.30005816]
86,86,[0.15999979 0.13       0.11999904 0.30003741]
87,87,[0.1599998  0.13       0.11999907 0.30005083]
88,88,[0.15999981 0.13       0.1199991  0.3025144 ]
89,89,[0.15999981 0.13       0.11999912 0.30002322]
90,90,[0.15999982 0.13       0.11999915 0.30001816]
91,91,[0.15999983 0.13       0.11999917 0.30001409]
92,92,[0.15999983 0.13       0.11999919 0.30000074]
93,93,[0.15999984 0.13       0.11999922 0.30003424]
94,94,[0.15999984 0.13       0.11999924 0.30004363]
95,95,[0.15999985 0.13       0.11999926 0.3000132 ]
96,96,[0.15999985 0.13       0.11999928 0.30000975]
97,97,[0.15999986 0.13       0.1199993  0.30000956]
98,98,[0.15999986 0.13       0.11999932 0.30001072]
99,99,[0.15999987 0.13       0.11999933 0.3000146 ]
100,100,[0.15999987 0.13       0.11999935 0.30000216]
101,101,[0.15999988 0.13       0.11999937 0.30002284]
102,102,[0.15999988 0.13       0.11999938 0.30006377]
103,103,[0.15999989 0.13       0.1199994  0.30002088]
104,104,[0.15999989 0.13       0.11999941 0.30000473]
105,105,[0.15999989 0.13       0.11999943 0.3000119 ]
106,106,[0.1599999  0.13       0.11999944 0.30010708]
107,107,[0.1599999  0.13       0.11999945 0.29999761]
108,108,[0.15999991 0.13       0.11999946 0.30004434]
109,109,[0.15999991 0.13       0.11999947 0.30000197]
110,110,[0.15999991 0.13       0.11999949 0.30000113]
111,111,[0.15999991 0.13       0.1199995  0.30000195]
112,112,[0.15999992 0.13       0.11999951 0.30000072]
113,113,[0.15999992 0.12999999 0.11999952 0.29999886]
114,114,[0.15999992 0.12999999 0.11999953 0.3       ]
115,115,[0.15999993 0.12999999 0.11999954 0.30000015]
116,116,[0.15999993 0.12999999 0.11999954 0.30013999]
117,117,[0.15999993 0.12999999 0.11999955 0.29999832]
118,118,[0.15999993 0.12999999 0.11999956 0.29999976]
119,119,[0.15999994 0.12999999 0.11999957 0.29999784]
120,120,[0.15999994 0.12999999 0.11999958 0.29999976]
121,121,[0.15999994 0.12999999 0.11999959 0.30643837]
122,122,[0.15999994 0.12999999 0.11999959 0.29999941]
123,123,[0.15999994 0.12999999 0.1199996  0.29999929]
124,124,[0.15999995 0.12999999 0.11999961 0.29999893]
125,125,[0.15999995 0.12999999 0.11999961 0.30914188]
126,126,[0.15999995 0.12999999 0.11999962 0.30034872]
127,127,[0.15999995 0.12999999 0.11999962 0.30566115]
128,128,[0.15999995 0.12999999 0.11999963 0.30268294]
129,129,[0.15999996 0.12999999 0.11999963 0.30331666]
130,130,[0.15999996 0.12999998 0.11999963 0.30999523]
131,131,[0.15999996 0.12999998 0.11999963 0.31297038]
132,132,[0.15999996 0.12999998 0.11999963 0.30400164]
133,133,[0.15999996 0.12999998 0.11999964 0.30277215]
134,134,[0.15999996 0.12999998 0.11999964 0.30580557]
135,135,[0.15999996 0.12999998 0.11999964 0.30194629]
136,136,[0.15999997 0.12999998 0.11999964 0.30078303]
137,137,[0.15999997 0.12999998 0.11999965 0.30162887]
138,138,[0.15999997 0.12999998 0.11999965 0.30352612]
139,139,[0.15999997 0.12999998 0.11999965 0.30497603]
140,140,[0.15999997 0.12999998 0.11999965 0.30102016]
141,141,[0.15999997 0.12999998 0.11999966 0.29998568]
142,142,[0.15999997 0.12999998 0.11999966 0.32232593]
143,143,[0.15999997 0.12999998 0.11999967 0.31085115]
144,144,[0.15999997 0.12999998 0.11999967 0.30694988]
145,145,[0.15999997 0.12999998 0.11999968 0.30101963]
146,146,[0.15999997 0.12999998 0.11999969 0.30004396]
147,147,[0.15999997 0.12999998 0.11999969 0.30096487]
148,148,[0.15999997 0.12999998 0.1199997  0.29991932]
149,149,[0.15999997 0.12999998 0.11999971 0.30009204]
