,iteration,speed
0,0,[0.16 0.13]
1,1,[0.16 0.13]
2,2,[0.16 0.13]
3,3,[0.16 0.13]
4,4,[0.16 0.13]
5,5,[0.16 0.13]
6,6,[0.16 0.13]
7,7,[0.16 0.13]
8,8,[0.16 0.13]
9,9,[0.16 0.13]
10,10,[0.16 0.13]
11,11,[0.16 0.13]
12,12,[0.16 0.13]
13,13,[0.15999999 0.13      ]
14,14,[0.15999999 0.13      ]
15,15,[0.15999999 0.12999999]
16,16,[0.15999999 0.12999999]
17,17,[0.15999999 0.12999999]
18,18,[0.15999999 0.12999999]
19,19,[0.15999999 0.12999999]
20,20,[0.15999999 0.12999999]
21,21,[0.15999999 0.12999999]
22,22,[0.15999998 0.12999999]
23,23,[0.15999998 0.12999999]
24,24,[0.15999998 0.12999999]
25,25,[0.15999998 0.12999998]
26,26,[0.15999998 0.12999998]
27,27,[0.15999998 0.12999998]
28,28,[0.15999998 0.12999998]
29,29,[0.15999997 0.12999998]
30,30,[0.15999997 0.12999998]
31,31,[0.15999997 0.12999998]
32,32,[0.15999997 0.12999997]
33,33,[0.15999997 0.12999997]
34,34,[0.15999996 0.12999997]
35,35,[0.15999996 0.12999997]
36,36,[0.15999996 0.12999997]
37,37,[0.15999996 0.12999997]
38,38,[0.15999996 0.12999997]
39,39,[0.15999996 0.12999996]
40,40,[0.15999995 0.12999996]
41,41,[0.15999995 0.12999996]
42,42,[0.15999995 0.12999996]
43,43,[0.15999995 0.12999996]
44,44,[0.15999995 0.12999996]
45,45,[0.15999994 0.12999996]
46,46,[0.15999994 0.12999995]
47,47,[0.15999994 0.12999995]
48,48,[0.15999994 0.12999995]
49,49,[0.15999994 0.12999995]
50,50,[0.15999994 0.12999995]
51,51,[0.15999994 0.12999995]
52,52,[0.15999993 0.12999995]
53,53,[0.15999993 0.12999995]
54,54,[0.15999993 0.12999994]
55,55,[0.15999993 0.12999994]
56,56,[0.15999993 0.12999994]
57,57,[0.15999993 0.12999994]
58,58,[0.15999993 0.12999994]
59,59,[0.15999993 0.12999994]
60,60,[0.15999992 0.12999994]
61,61,[0.15999992 0.12999994]
62,62,[0.15999992 0.12999994]
63,63,[0.15999992 0.12999994]
64,64,[0.15999992 0.12999994]
65,65,[0.15999992 0.12999994]
66,66,[0.15999992 0.12999994]
67,67,[0.15999992 0.12999993]
68,68,[0.15999992 0.12999993]
69,69,[0.15999992 0.12999993]
70,70,[0.15999992 0.12999993]
71,71,[0.15999992 0.12999993]
72,72,[0.15999992 0.12999993]
73,73,[0.15999992 0.12999993]
74,74,[0.15999992 0.12999993]
75,75,[0.15999992 0.12999993]
76,76,[0.15999992 0.12999993]
77,77,[0.15999992 0.12999993]
78,78,[0.15999992 0.12999993]
79,79,[0.15999992 0.12999993]
80,80,[0.15999992 0.12999993]
81,81,[0.15999991 0.12999993]
82,82,[0.15999991 0.12999993]
83,83,[0.15999991 0.12999993]
84,84,[0.15999991 0.12999993]
85,85,[0.15999991 0.12999993]
86,86,[0.15999991 0.12999993]
87,87,[0.15999991 0.12999993]
88,88,[0.15999991 0.12999993]
89,89,[0.15999991 0.12999993]
90,90,[0.15999991 0.12999993]
91,91,[0.15999991 0.12999993]
92,92,[0.15999991 0.12999993]
93,93,[0.15999991 0.12999993]
94,94,[0.15999992 0.12999993]
95,95,[0.15999992 0.12999993]
96,96,[0.15999992 0.12999993]
97,97,[0.15999992 0.12999993]
98,98,[0.15999992 0.12999993]
99,99,[0.15999992 0.12999993]
100,100,[0.15999992 0.12999993]
101,101,[0.15999992 0.12999993]
102,102,[0.15999992 0.12999993]
103,103,[0.15999992 0.12999993]
104,104,[0.15999992 0.12999993]
105,105,[0.15999992 0.12999993]
106,106,[0.15999992 0.12999993]
107,107,[0.15999992 0.12999993]
108,108,[0.15999992 0.12999993]
109,109,[0.15999992 0.12999993]
110,110,[0.15999992 0.12999993]
111,111,[0.15999992 0.12999993]
112,112,[0.15999992 0.12999993]
113,113,[0.15999992 0.12999993]
114,114,[0.15999992 0.12999993]
115,115,[0.15999992 0.12999993]
116,116,[0.15999992 0.12999993]
117,117,[0.15999992 0.12999993]
118,118,[0.15999992 0.12999993]
119,119,[0.15999992 0.12999993]
120,120,[0.15999992 0.12999993]
121,121,[0.15999992 0.12999993]
122,122,[0.15999992 0.12999993]
123,123,[0.15999992 0.12999993]
124,124,[0.15999992 0.12999993]
125,125,[0.15999992 0.12999993]
126,126,[0.15999992 0.12999993]
127,127,[0.15999992 0.12999993]
128,128,[0.15999992 0.12999993]
129,129,[0.15999992 0.12999993]
130,130,[0.15999992 0.12999993]
131,131,[0.15999992 0.12999993]
132,132,[0.15999992 0.12999993]
133,133,[0.15999992 0.12999993]
134,134,[0.15999992 0.12999993]
135,135,[0.15999992 0.12999993]
136,136,[0.15999992 0.12999993]
137,137,[0.15999992 0.12999993]
138,138,[0.15999992 0.12999993]
139,139,[0.15999992 0.12999993]
140,140,[0.15999992 0.12999993]
141,141,[0.15999992 0.12999993]
142,142,[0.15999992 0.12999993]
143,143,[0.15999992 0.12999993]
144,144,[0.15999992 0.12999993]
145,145,[0.15999992 0.12999993]
146,146,[0.15999992 0.12999993]
147,147,[0.15999992 0.12999993]
148,148,[0.15999992 0.12999993]
149,149,[0.15999992 0.12999993]
150,150,[0.15999992 0.12999993]
151,151,[0.15999992 0.12999993]
152,152,[0.15999992 0.12999993]
