,iteration,speed
0,0,[0.16 0.13]
1,1,[0.16 0.13]
2,2,[0.16 0.13]
3,3,[0.16 0.13]
4,4,[0.15999999 0.13      ]
5,5,[0.15999999 0.12999999]
6,6,[0.15999999 0.12999999]
7,7,[0.15999999 0.12999999]
8,8,[0.15999999 0.12999999]
9,9,[0.15999999 0.12999999]
10,10,[0.15999998 0.12999999]
11,11,[0.15999998 0.12999999]
12,12,[0.15999998 0.12999999]
13,13,[0.15999998 0.12999998]
14,14,[0.15999998 0.12999998]
15,15,[0.15999998 0.12999998]
16,16,[0.15999998 0.12999998]
17,17,[0.15999998 0.12999998]
18,18,[0.15999998 0.12999998]
19,19,[0.15999998 0.12999998]
20,20,[0.15999998 0.12999998]
21,21,[0.15999998 0.12999998]
22,22,[0.15999998 0.12999998]
23,23,[0.15999998 0.12999998]
24,24,[0.15999998 0.12999998]
25,25,[0.15999998 0.12999999]
26,26,[0.15999998 0.12999999]
27,27,[0.15999998 0.12999999]
28,28,[0.15999999 0.12999999]
29,29,[0.15999999 0.12999999]
30,30,[0.15999999 0.12999999]
31,31,[0.15999999 0.12999999]
32,32,[0.15999999 0.12999999]
33,33,[0.15999999 0.13      ]
34,34,[0.16 0.13]
35,35,[0.16 0.13]
36,36,[0.16 0.13]
37,37,[0.16 0.13]
38,38,[0.16 0.13]
39,39,[0.16 0.13]
40,40,[0.16 0.13]
41,41,[0.15999999 0.12999999]
42,42,[0.15999998 0.12999998]
43,43,[0.15999997 0.12999997]
44,44,[0.15999995 0.12999996]
45,45,[0.15999992 0.12999994]
46,46,[0.15999989 0.12999991]
47,47,[0.15999986 0.12999989]
48,48,[0.15999983 0.12999986]
49,49,[0.15999979 0.12999983]
50,50,[0.15999976 0.1299998 ]
51,51,[0.15999972 0.12999978]
52,52,[0.15999969 0.12999975]
53,53,[0.15999967 0.12999973]
54,54,[0.15999965 0.12999971]
55,55,[0.15999963 0.1299997 ]
56,56,[0.15999961 0.12999969]
57,57,[0.1599996  0.12999968]
58,58,[0.15999959 0.12999967]
59,59,[0.15999959 0.12999966]
60,60,[0.15999958 0.12999966]
61,61,[0.15999958 0.12999966]
62,62,[0.15999958 0.12999966]
63,63,[0.15999958 0.12999966]
64,64,[0.15999958 0.12999966]
65,65,[0.15999959 0.12999967]
66,66,[0.15999959 0.12999967]
67,67,[0.1599996  0.12999968]
68,68,[0.15999961 0.12999968]
69,69,[0.15999962 0.12999969]
70,70,[0.15999963 0.1299997 ]
71,71,[0.15999965 0.12999971]
72,72,[0.15999966 0.12999972]
73,73,[0.15999968 0.12999974]
74,74,[0.1599997  0.12999976]
75,75,[0.15999973 0.12999978]
76,76,[0.15999977 0.12999981]
77,77,[0.15999984 0.12999987]
78,78,[0.15999996 0.12999997]
79,79,[0.15999996 0.12999996]
80,80,[0.15999979 0.12999983]
81,81,[0.15999969 0.12999975]
82,82,[0.15999964 0.12999971]
83,83,[0.1599996  0.12999968]
84,84,[0.15999958 0.12999966]
85,85,[0.15999956 0.12999964]
86,86,[0.15999954 0.12999963]
87,87,[0.15999953 0.12999962]
88,88,[0.15999952 0.12999961]
89,89,[0.15999951 0.1299996 ]
90,90,[0.15999951 0.1299996 ]
91,91,[0.1599995 0.1299996]
92,92,[0.1599995 0.1299996]
93,93,[0.1599995 0.1299996]
94,94,[0.1599995 0.1299996]
95,95,[0.15999951 0.1299996 ]
96,96,[0.15999952 0.12999961]
97,97,[0.15999953 0.12999961]
98,98,[0.15999954 0.12999962]
99,99,[0.15999955 0.12999964]
100,100,[0.15999957 0.12999965]
101,101,[0.15999959 0.12999967]
102,102,[0.15999962 0.12999969]
103,103,[0.15999965 0.12999972]
104,104,[0.15999969 0.12999975]
105,105,[0.15999973 0.12999978]
106,106,[0.15999978 0.12999982]
107,107,[0.15999982 0.12999986]
108,108,[0.15999987 0.1299999 ]
109,109,[0.15999991 0.12999993]
110,110,[0.15999995 0.12999996]
111,111,[0.15999997 0.12999998]
112,112,[0.15999999 0.12999999]
113,113,[0.16 0.13]
114,114,[0.16 0.13]
115,115,[0.16 0.13]
116,116,[0.15999999 0.12999999]
117,117,[0.15999999 0.12999999]
118,118,[0.15999998 0.12999998]
119,119,[0.15999997 0.12999997]
120,120,[0.15999996 0.12999997]
121,121,[0.15999995 0.12999996]
122,122,[0.15999994 0.12999995]
123,123,[0.15999993 0.12999994]
124,124,[0.15999992 0.12999993]
125,125,[0.1599999  0.12999992]
126,126,[0.15999989 0.12999991]
127,127,[0.15999988 0.1299999 ]
128,128,[0.15999986 0.12999989]
129,129,[0.15999984 0.12999987]
130,130,[0.15999983 0.12999986]
131,131,[0.15999981 0.12999985]
132,132,[0.15999979 0.12999983]
133,133,[0.15999977 0.12999982]
134,134,[0.15999976 0.1299998 ]
135,135,[0.15999974 0.12999978]
136,136,[0.15999972 0.12999977]
137,137,[0.1599997  0.12999975]
138,138,[0.15999968 0.12999974]
139,139,[0.15999965 0.12999972]
140,140,[0.15999963 0.1299997 ]
141,141,[0.15999962 0.12999969]
142,142,[0.1599996  0.12999967]
143,143,[0.15999958 0.12999966]
144,144,[0.15999956 0.12999964]
145,145,[0.15999954 0.12999963]
146,146,[0.15999952 0.12999961]
147,147,[0.15999951 0.1299996 ]
148,148,[0.15999949 0.12999959]
149,149,[0.15999948 0.12999957]
150,150,[0.15999946 0.12999956]
151,151,[0.15999945 0.12999955]
