,iteration,speed
0,0,"[0.16000062 0.15999995 0.1599992  0.16000049 0.15999487 0.15999765
 0.15999877 0.15999725 0.15999969 0.16000112]"
1,1,"[0.15999995 0.15999995 0.15999916 0.15999995 0.15999087 0.15999756
 0.15999872 0.15999771 0.15999969 0.15999933]"
2,2,"[0.15999995 0.15999995 0.15999913 0.15999994 0.15999086 0.15999748
 0.15999867 0.15999775 0.15999969 0.15999933]"
3,3,"[0.15999994 0.15999995 0.15999909 0.15999994 0.15999089 0.15999738
 0.15999862 0.1599978  0.15999969 0.15999933]"
4,4,"[0.15999994 0.15999995 0.15999905 0.15999994 0.15999095 0.15999729
 0.15999857 0.15999785 0.15999969 0.15999933]"
5,5,"[0.15999993 0.15999994 0.15999901 0.15999994 0.15999105 0.15999719
 0.15999853 0.1599979  0.15999969 0.15999933]"
6,6,"[0.15999993 0.15999994 0.15999896 0.15999993 0.15999118 0.15999709
 0.15999849 0.15999796 0.15999969 0.15999933]"
7,7,"[0.15999992 0.15999994 0.15999892 0.15999993 0.15999134 0.15999698
 0.15999845 0.15999802 0.15999969 0.15999933]"
8,8,"[0.15999992 0.15999994 0.15999887 0.15999992 0.15999153 0.15999687
 0.15999842 0.15999808 0.15999969 0.15999934]"
9,9,"[0.15999992 0.15999994 0.15999882 0.15999992 0.15999175 0.15999675
 0.15999839 0.15999815 0.15999969 0.15999934]"
10,10,"[0.15999991 0.15999993 0.15999877 0.15999992 0.15999199 0.15999664
 0.15999836 0.15999821 0.15999969 0.15999935]"
11,11,"[0.15999991 0.15999993 0.15999872 0.15999991 0.15999225 0.15999652
 0.15999834 0.15999829 0.15999969 0.15999936]"
12,12,"[0.1599999  0.15999992 0.15999858 0.15999991 0.15999253 0.15999639
 0.15999832 0.15999836 0.15999969 0.15999936]"
13,13,"[0.1599999  0.15999299 0.15999413 0.15999947 0.15999282 0.15999626
 0.15999831 0.15999845 0.15999999 0.15999937]"
14,14,"[0.15999989 0.15999276 0.15999385 0.15999946 0.15999309 0.15999614
 0.15999831 0.15999855 0.15999999 0.1599994 ]"
15,15,"[0.15999988 0.15999254 0.15999357 0.15999944 0.15999337 0.15999601
 0.1599983  0.15999865 0.15999999 0.15999942]"
16,16,"[0.15999988 0.15999234 0.15999329 0.15999943 0.15999367 0.15999588
 0.1599983  0.15999876 0.15999999 0.15999944]"
17,17,"[0.15999987 0.15999215 0.15999303 0.15999942 0.15999396 0.15999575
 0.15999831 0.15999887 0.15999999 0.15999946]"
18,18,"[0.15999987 0.15999199 0.15999278 0.1599994  0.15999426 0.15999561
 0.15999833 0.15999898 0.15999999 0.15999948]"
19,19,"[0.15999986 0.15999186 0.15999255 0.15999939 0.15999456 0.15999546
 0.15999834 0.15999909 0.15999999 0.15999951]"
20,20,"[0.15999986 0.15999175 0.15999235 0.15999938 0.15999486 0.15999531
 0.15999837 0.1599992  0.15999999 0.15999953]"
21,21,"[0.15999985 0.15999167 0.15999218 0.15999936 0.15999516 0.15999516
 0.15999839 0.15999931 0.15999999 0.15999955]"
22,22,"[0.15999985 0.15999162 0.15999204 0.15999935 0.16002219 0.15999517
 0.15999842 0.15999942 0.16       0.16000118]"
23,23,"[0.15999984 0.1599916  0.15999194 0.15999934 0.15999882 0.15999519
 0.15999845 0.15999953 0.15999999 0.15999989]"
24,24,"[0.15999984 0.15999162 0.15999188 0.15999932 0.15999879 0.15999498
 0.15999848 0.15999963 0.15999999 0.1599999 ]"
25,25,"[0.15999983 0.15999166 0.15999186 0.15999931 0.15999876 0.15999476
 0.15999852 0.15999973 0.15999999 0.15999991]"
26,26,"[0.15999982 0.15999173 0.15999189 0.1599993  0.15999873 0.15999451
 0.15999855 0.15999983 0.15999999 0.15999992]"
27,27,"[0.15999982 0.15999183 0.15999195 0.15999929 0.1599987  0.15999421
 0.15999858 0.15999991 0.15999999 0.15999993]"
28,28,"[0.15999981 0.15999196 0.15999205 0.15999928 0.15999867 0.15999386
 0.15999862 0.15999997 0.15999999 0.15999993]"
29,29,"[0.15999981 0.15999211 0.15999219 0.15999927 0.15999865 0.15999345
 0.15999865 0.16       0.15999999 0.15999994]"
30,30,"[0.1599998  0.15999229 0.15999237 0.15999926 0.15999862 0.15999299
 0.15999868 0.15999993 0.15999999 0.15999994]"
31,31,"[0.1599998  0.15999431 0.15999257 0.15999926 0.15999859 0.15999304
 0.15999871 0.15999964 0.15999999 0.15999995]"
32,32,"[0.15999979 0.15999598 0.1599928  0.15999925 0.15999856 0.15999373
 0.15999874 0.15999898 0.15999999 0.15999995]"
33,33,"[0.15999979 0.15999543 0.15999306 0.15999924 0.15999854 0.15999492
 0.15999877 0.15999837 0.15999999 0.15999996]"
34,34,"[0.15999978 0.15999415 0.15999332 0.16002396 0.15999921 0.15999634
 0.15999879 0.15999831 0.15999999 0.15999996]"
35,35,"[0.15999978 0.15999436 0.15999361 0.15999979 0.15999884 0.15999728
 0.15999881 0.15999852 0.15999999 0.15999997]"
36,36,"[0.15999977 0.15999458 0.15999392 0.1599998  0.1599988  0.1599978
 0.15999883 0.15999879 0.15999999 0.15999997]"
37,37,"[0.15999977 0.1599948  0.15999422 0.1599998  0.16000457 0.16001089
 0.15999884 0.15999902 0.15999999 0.15999997]"
