,iteration,speed
0,0,"[0.16000297 0.15999885 0.15999982 0.16       0.1600117  0.15999911
 0.1599998  0.15999997 0.15999999 0.16000063]"
1,1,"[0.15999821 0.15999858 0.15999982 0.15999979 0.15999941 0.15999915
 0.15999979 0.15999996 0.15999997 0.15999955]"
2,2,"[0.15999813 0.15999854 0.15999983 0.15999977 0.16000243 0.15999918
 0.15999978 0.16000001 0.15999998 0.15999952]"
3,3,"[0.15999804 0.1599985  0.15999983 0.15999975 0.15999987 0.15999922
 0.15999977 0.15999999 0.15999998 0.1599995 ]"
4,4,"[0.15999796 0.15999846 0.15999984 0.15999972 0.15999987 0.15999926
 0.15999977 0.15999999 0.15999998 0.15999947]"
5,5,"[0.15999788 0.15999841 0.15999984 0.1599997  0.15999987 0.15999929
 0.15999976 0.15999999 0.15999998 0.15999945]"
6,6,"[0.15999781 0.15999837 0.15999985 0.15999967 0.15999987 0.15999933
 0.15999976 0.16       0.15999998 0.15999942]"
7,7,"[0.15999774 0.15999833 0.15999986 0.15999964 0.15999987 0.15999936
 0.15999976 0.16       0.15999998 0.15999939]"
8,8,"[0.15999767 0.15999828 0.15999986 0.1599996  0.15999987 0.15999939
 0.15999976 0.16       0.15999998 0.15999936]"
9,9,"[0.15999761 0.15999824 0.15999987 0.15999957 0.15999988 0.15999942
 0.15999976 0.16       0.15999998 0.15999933]"
10,10,"[0.15999756 0.15999819 0.15999988 0.15999953 0.15999988 0.15999945
 0.15999977 0.16       0.15999998 0.1599993 ]"
11,11,"[0.15999751 0.15999815 0.15999989 0.15999948 0.15999988 0.15999948
 0.15999978 0.16       0.15999998 0.15999927]"
12,12,"[0.15999746 0.15999811 0.15999989 0.15999944 0.15999989 0.1599995
 0.15999978 0.16       0.15999998 0.15999923]"
13,13,"[0.15999743 0.15999806 0.1599999  0.15999939 0.15999989 0.15999952
 0.15999979 0.16       0.15999998 0.1599992 ]"
14,14,"[0.1599974  0.15999802 0.15999991 0.15999934 0.1599999  0.15999954
 0.1599998  0.16       0.15999998 0.15999916]"
15,15,"[0.15999737 0.15999798 0.15999992 0.15999928 0.1599999  0.15999956
 0.15999981 0.16       0.15999998 0.15999913]"
16,16,"[0.15999735 0.15999793 0.15999993 0.15999922 0.15999991 0.15999957
 0.15999983 0.15999999 0.15999998 0.15999909]"
