,iteration,speed
0,0,"[0.15999744 0.15999994 0.15999753 0.15999734 0.15999737 0.15999817
 0.15999998 0.15999917 0.15999929 0.15999735]"
1,1,"[0.15999746 0.15999994 0.15999749 0.15999733 0.15999739 0.15999811
 0.15999998 0.15999919 0.15999925 0.15999734]"
2,2,"[0.15999747 0.15999995 0.15999745 0.15999734 0.15999742 0.15999805
 0.15999998 0.15999922 0.15999921 0.15999734]"
3,3,"[0.15999748 0.15999995 0.15999741 0.15999734 0.15999744 0.15999799
 0.15999998 0.15999924 0.15999916 0.15999733]"
4,4,"[0.15999749 0.15999994 0.15999738 0.15999735 0.15999745 0.15999793
 0.15999998 0.15999926 0.15999912 0.15999734]"
5,5,"[0.15999751 0.15999994 0.15999736 0.15999737 0.15999744 0.15999787
 0.15999998 0.15999928 0.15999908 0.15999734]"
6,6,"[0.15999754 0.15999994 0.15999734 0.1599974  0.15999741 0.15999782
 0.15999998 0.1599993  0.15999904 0.15999735]"
7,7,"[0.15999757 0.15999994 0.15999733 0.15999743 0.15999737 0.15999776
 0.15999998 0.15999932 0.15999899 0.15999736]"
8,8,"[0.15999761 0.15999994 0.15999734 0.15999748 0.15999734 0.1599977
 0.15999998 0.15999934 0.15999895 0.15999738]"
9,9,"[0.15999766 0.15999994 0.15999735 0.15999753 0.15999734 0.15999765
 0.15999998 0.15999935 0.1599989  0.1599974 ]"
10,10,"[0.15999773 0.15999994 0.15999736 0.15999759 0.15999742 0.15999759
 0.15999998 0.15999937 0.15999886 0.15999742]"
11,11,"[0.1599978  0.15999994 0.15999739 0.15999766 0.1599976  0.15999755
 0.15999998 0.15999939 0.15999881 0.15999744]"
12,12,"[0.15999789 0.15999995 0.15999743 0.15999773 0.15999789 0.1599975
 0.15999998 0.1599994  0.15999877 0.15999747]"
13,13,"[0.15999799 0.15999995 0.15999747 0.1599978  0.15999826 0.15999746
 0.15999998 0.15999942 0.15999872 0.1599975 ]"
14,14,"[0.1599981  0.15999995 0.15999751 0.15999788 0.15999864 0.15999742
 0.15999998 0.15999943 0.15999868 0.15999753]"
15,15,"[0.15999822 0.15999995 0.15999755 0.15999797 0.15999898 0.1599974
 0.15999999 0.15999945 0.15999863 0.15999756]"
16,16,"[0.15999834 0.15999995 0.1599976  0.15999804 0.15999925 0.15999737
 0.15999999 0.15999947 0.15999858 0.15999759]"
17,17,"[0.15999846 0.15999995 0.15999764 0.15999812 0.15999946 0.15999736
 0.15999999 0.15999948 0.15999854 0.15999763]"
