,iteration,speed
0,0,[0.16 0.13]
1,1,[0.16 0.13]
2,2,[0.15999999 0.12999999]
3,3,[0.15999999 0.12999999]
4,4,[0.15999998 0.12999998]
5,5,[0.15999998 0.12999998]
6,6,[0.15999997 0.12999998]
7,7,[0.15999997 0.12999997]
8,8,[0.15999996 0.12999997]
9,9,[0.15999996 0.12999996]
10,10,[0.15999995 0.12999996]
11,11,[0.15999995 0.12999996]
12,12,[0.15999994 0.12999995]
13,13,[0.15999994 0.12999995]
14,14,[0.15999993 0.12999995]
15,15,[0.15999993 0.12999994]
16,16,[0.15999992 0.12999994]
17,17,[0.15999992 0.12999994]
18,18,[0.15999992 0.12999993]
19,19,[0.15999991 0.12999993]
20,20,[0.15999991 0.12999993]
21,21,[0.15999991 0.12999992]
22,22,[0.1599999  0.12999992]
23,23,[0.1599999  0.12999992]
24,24,[0.1599999  0.12999992]
25,25,[0.1599999  0.12999992]
26,26,[0.1599999  0.12999992]
27,27,[0.1599999  0.12999992]
28,28,[0.1599999  0.12999992]
29,29,[0.1599999  0.12999992]
30,30,[0.1599999  0.12999992]
31,31,[0.1599999  0.12999992]
32,32,[0.1599999  0.12999992]
33,33,[0.15999991 0.12999993]
34,34,[0.15999991 0.12999993]
35,35,[0.15999992 0.12999994]
36,36,[0.15999993 0.12999994]
37,37,[0.15999994 0.12999995]
38,38,[0.15999995 0.12999996]
39,39,[0.15999996 0.12999997]
40,40,[0.15999997 0.12999998]
41,41,[0.15999998 0.12999999]
42,42,[0.15999999 0.12999999]
43,43,[0.16 0.13]
44,44,[0.16 0.13]
45,45,[0.16 0.13]
46,46,[0.15999999 0.12999999]
47,47,[0.15999998 0.12999998]
48,48,[0.15999997 0.12999997]
49,49,[0.15999995 0.12999996]
50,50,[0.15999994 0.12999995]
51,51,[0.15999993 0.12999994]
52,52,[0.15999992 0.12999994]
53,53,[0.15999991 0.12999993]
54,54,[0.1599999  0.12999992]
55,55,[0.1599999  0.12999992]
56,56,[0.15999989 0.12999991]
57,57,[0.15999989 0.12999991]
58,58,[0.15999989 0.12999991]
59,59,[0.15999989 0.12999991]
60,60,[0.15999989 0.12999991]
61,61,[0.15999989 0.12999991]
62,62,[0.15999989 0.12999991]
63,63,[0.15999989 0.12999991]
64,64,[0.15999989 0.12999991]
65,65,[0.15999989 0.12999991]
66,66,[0.1599999  0.12999992]
67,67,[0.1599999  0.12999992]
68,68,[0.15999989 0.12999991]
69,69,[0.15999989 0.12999991]
70,70,[0.15999987 0.1299999 ]
71,71,[0.15999983 0.12999986]
72,72,[0.15999961 0.12999968]
73,73,[0.15999892 0.12999913]
74,74,[0.15999856 0.12999883]
75,75,[0.15999869 0.12999893]
76,76,[0.15999874 0.12999897]
77,77,[0.15999876 0.12999899]
78,78,[0.15999877 0.129999  ]
79,79,[0.15999878 0.12999901]
80,80,[0.15999878 0.12999901]
81,81,[0.15999879 0.12999901]
82,82,[0.15999879 0.12999902]
83,83,[0.1599988  0.12999902]
84,84,[0.15999881 0.12999903]
85,85,[0.15999882 0.12999904]
86,86,[0.15999883 0.12999905]
87,87,[0.15999885 0.12999906]
88,88,[0.15999887 0.12999908]
89,89,[0.1599989 0.1299991]
90,90,[0.15999893 0.12999913]
91,91,[0.15999897 0.12999916]
92,92,[0.15999903 0.12999921]
93,93,[0.15999909 0.12999926]
94,94,[0.15999918 0.12999933]
95,95,[0.15999928 0.12999942]
96,96,[0.15999941 0.12999952]
97,97,[0.15999955 0.12999964]
98,98,[0.1599997  0.12999975]
99,99,[0.15999981 0.12999985]
100,100,[0.15999989 0.12999991]
101,101,[0.15999994 0.12999995]
102,102,[0.15999997 0.12999997]
103,103,[0.15999998 0.12999999]
104,104,[0.15999999 0.12999999]
105,105,[0.16 0.13]
106,106,[0.16 0.13]
107,107,[0.16 0.13]
108,108,[0.16 0.13]
109,109,[0.16 0.13]
110,110,[0.15999999 0.13      ]
111,111,[0.15999999 0.12999999]
112,112,[0.15999999 0.12999999]
113,113,[0.15999998 0.12999998]
114,114,[0.15999998 0.12999998]
115,115,[0.15999997 0.12999998]
116,116,[0.15999996 0.12999997]
117,117,[0.15999996 0.12999996]
118,118,[0.15999995 0.12999996]
119,119,[0.15999994 0.12999995]
120,120,[0.15999993 0.12999994]
121,121,[0.15999992 0.12999994]
122,122,[0.15999992 0.12999993]
123,123,[0.15999991 0.12999992]
124,124,[0.1599999  0.12999992]
125,125,[0.15999989 0.12999991]
126,126,[0.15999988 0.12999991]
127,127,[0.15999988 0.1299999 ]
128,128,[0.15999987 0.12999989]
129,129,[0.15999986 0.12999989]
130,130,[0.15999986 0.12999988]
131,131,[0.15999985 0.12999988]
132,132,[0.15999984 0.12999987]
133,133,[0.15999984 0.12999987]
134,134,[0.15999983 0.12999986]
135,135,[0.15999983 0.12999986]
136,136,[0.15999982 0.12999986]
137,137,[0.15999982 0.12999985]
138,138,[0.15999982 0.12999985]
139,139,[0.15999981 0.12999985]
140,140,[0.15999981 0.12999985]
141,141,[0.15999981 0.12999984]
142,142,[0.15999981 0.12999984]
143,143,[0.1599998  0.12999984]
144,144,[0.1599998  0.12999984]
145,145,[0.1599998  0.12999984]
146,146,[0.1599998  0.12999984]
147,147,[0.1599998  0.12999984]
148,148,[0.1599998  0.12999984]
149,149,[0.1599998  0.12999984]
150,150,[0.1599998  0.12999984]
151,151,[0.1599998  0.12999984]
