,iteration,speed
0,0,[0.15999988 0.12999993 0.12010549 0.30026372]
1,1,[0.15999974 0.12999993 0.11999972 0.29999929]
2,2,[0.15999973 0.12999993 0.12016206 0.30040514]
3,3,[0.15999971 0.12999993 0.12004367 0.30010917]
4,4,[0.1599997  0.12999993 0.12001071 0.30002677]
5,5,[0.15999969 0.12999993 0.12000099 0.30000248]
6,6,[0.15999968 0.12999993 0.1200318  0.30007949]
7,7,[0.15999967 0.12999993 0.12006736 0.30016839]
8,8,[0.15999965 0.12999993 0.11999991 0.29999977]
9,9,[0.15999964 0.12999993 0.11999996 0.29999989]
10,10,[0.15999963 0.12999993 0.11999988 0.2999997 ]
11,11,[0.15999962 0.12999993 0.11999999 0.29999999]
12,12,[0.1599996  0.12999993 0.1200003  0.30000075]
13,13,[0.1599999  0.12999993 0.11999984 0.2999996 ]
14,14,[0.1599996  0.12999993 0.11999996 0.29999991]
15,15,[0.15999961 0.12999993 0.11999998 0.29999996]
16,16,[0.15999963 0.12999993 0.11999994 0.29999985]
17,17,[0.15999964 0.12999993 0.11999975 0.29999938]
18,18,[0.15999965 0.12999993 0.12001647 0.30004118]
19,19,[0.15999967 0.12999993 0.11999981 0.29999951]
20,20,[0.15999968 0.12999993 0.11999993 0.29999982]
21,21,[0.1599997  0.12999993 0.11999997 0.29999993]
22,22,[0.15999971 0.12999993 0.11999998 0.29999995]
23,23,[0.15999972 0.12999993 0.11999998 0.29999995]
24,24,[0.15999974 0.12999993 0.11999997 0.29999993]
25,25,[0.15999975 0.12999993 0.11999995 0.29999988]
26,26,[0.15999977 0.12999993 0.11999991 0.29999978]
27,27,[0.15999978 0.12999993 0.11999986 0.29999966]
28,28,[0.15999979 0.12999993 0.11999983 0.29999956]
29,29,[0.1599998  0.12999993 0.1199998  0.2999995 ]
30,30,[0.15999981 0.12999993 0.11999978 0.29999946]
31,31,[0.15999983 0.12999993 0.11999977 0.29999944]
32,32,[0.15999984 0.12999993 0.11999977 0.29999942]
33,33,[0.15999985 0.12999994 0.11999977 0.29999942]
34,34,[0.15999986 0.12999993 0.1200068  0.300017  ]
35,35,[0.15999987 0.12999993 0.12000021 0.30000052]
36,36,[0.15999987 0.12999993 0.12004262 0.30010656]
37,37,[0.15999988 0.12999993 0.12000263 0.30000658]
38,38,[0.15999989 0.12999993 0.1200002  0.3000005 ]
39,39,[0.15999989 0.12999993 0.1199997  0.29999925]
40,40,[0.1599999  0.12999993 0.12000009 0.30000023]
41,41,[0.1599999  0.12999993 0.12       0.30000001]
42,42,[0.15999991 0.12999993 0.12002167 0.30005419]
43,43,[0.15999991 0.12999993 0.11999999 0.29999999]
44,44,[0.15999991 0.12999993 0.11999947 0.29999867]
45,45,[0.15999991 0.12999993 0.11999994 0.29999984]
46,46,[0.15999991 0.12999993 0.12       0.29999999]
47,47,[0.15999991 0.12999993 0.11999985 0.29999964]
48,48,[0.15999991 0.12999993 0.12016054 0.30040134]
49,49,[0.15999991 0.12999994 0.11999997 0.29999993]
50,50,[0.15999991 0.12999994 0.11999999 0.29999998]
51,51,[0.1599999  0.12999994 0.11999989 0.29999973]
52,52,[0.1599999  0.12999994 0.1200008  0.30000199]
53,53,[0.1599999  0.12999994 0.11999988 0.2999997 ]
54,54,[0.1599999  0.12999994 0.11999998 0.29999995]
55,55,[0.1599999  0.12999994 0.12       0.29999999]
56,56,[0.1599999  0.12999994 0.11999995 0.29999989]
57,57,[0.1599999  0.12999994 0.11999984 0.2999996 ]
58,58,[0.1599999  0.12999994 0.12016089 0.30040222]
59,59,[0.1599999  0.12999994 0.11999984 0.2999996 ]
60,60,[0.1599999  0.12999994 0.11999992 0.29999979]
61,61,[0.15999989 0.12999994 0.11999999 0.29999998]
62,62,[0.15999989 0.12999994 0.12       0.29999999]
63,63,[0.15999989 0.12999994 0.11999998 0.29999995]
